time,open,high,low,close,NV
2023-01-01T00:00:00Z,16529.49,16533.21,16504.31,16518.95,NaN
2023-01-01T01:00:00Z,16518.93,16539.68,16517.17,16538.8,774.93171332
2023-01-01T02:00:00Z,16538.32,16543.98,16522,16533.59,-691.91307701
2023-01-01T03:00:00Z,16532.83,16532.83,16509.9,16522.15,-819.81372416
2023-01-01T04:00:00Z,16522.57,16523.82,16504.8,16507.94,-898.48038301
2023-01-01T05:00:00Z,16509.65,16521.97,16504.07,16521.19,480.55154792
2023-01-01T06:00:00Z,16519.57,16537.09,16519.27,16532.87,378.67429668
2023-01-01T07:00:00Z,16533.06,16534.78,16496.6,16516.21,-592.5619899
2023-01-01T08:00:00Z,16517.71,16522.72,16501.97,16503.74,-486.07978015
2023-01-01T09:00:00Z,16504.41,16529.97,16501.21,16527.44,232.11668403
2023-01-01T10:00:00Z,16528.47,16534.1,16523.96,16532.82,204.59897408
2023-01-01T11:00:00Z,16532.88,16544.54,16532.21,16544.37,222.11144622
2023-01-01T12:00:00Z,16544.48,16558.91,16543.11,16554.97,333.84421032
2023-01-01T13:00:00Z,16554.64,16557.81,16537.67,16542.21,-348.86649895
2023-01-01T14:00:00Z,16542.54,16549.79,16541.12,16541.69,-258.41429666
2023-01-01T15:00:00Z,16541.51,16552.76,16532.77,16552.6,229.66981496
2023-01-01T16:00:00Z,16552.6,16571.54,16552.31,16557.93,576.16176847
2023-01-01T17:00:00Z,16559.78,16588.27,16557.75,16572.73,531.26670386
2023-01-01T18:00:00Z,16575.62,16596.5,16574.72,16586.8,363.89990802
2023-01-01T19:00:00Z,16588.09,16611.41,16588.06,16598.22,616.93704544
2023-01-01T20:00:00Z,16597.65,16616.35,16597.11,16603.22,1073.26995502
2023-01-01T21:00:00Z,16603.58,16604.28,16592.47,16602.31,-426.51782716
2023-01-01T22:00:00Z,16602.9,16606.23,16588.24,16598.15,-576.01244634
2023-01-01T23:00:00Z,16598.09,16619.63,16598,16613.48,803.65707722
2023-01-02T00:00:00Z,16612.77,16620.31,16581.9,16584.17,-437.57094687
2023-01-02T01:00:00Z,16584.47,16584.92,16549.9,16561.88,-522.47127912
2023-01-02T02:00:00Z,16561.66,16587.25,16553.26,16583.36,298.75063127
2023-01-02T03:00:00Z,16583.29,16690.61,16579.47,16656.58,851.55833793
2023-01-02T04:00:00Z,16656.83,16665.75,16628.04,16635.01,-721.82687462
2023-01-02T05:00:00Z,16635,16649.84,16614.64,16643.38,609.37796537
2023-01-02T06:00:00Z,16642.16,16650.25,16630.46,16634.43,-362.16602275
2023-01-02T07:00:00Z,16634.85,16751.22,16632.97,16717.26,1836.34223433
2023-01-02T08:00:00Z,16716.16,16759.06,16707.47,16729.16,1003.80276708
2023-01-02T09:00:00Z,16729.94,16736.95,16710.33,16712.87,-682.0417366
2023-01-02T10:00:00Z,16712.79,16749.59,16708.32,16723.51,570.50497218
2023-01-02T11:00:00Z,16723.47,16732.34,16703.45,16729.42,406.94474336
2023-01-02T12:00:00Z,16729.47,16736.11,16717.81,16718.24,-381.53600904
2023-01-02T13:00:00Z,16719.15,16720.02,16682.97,16692.65,-638.25776636
2023-01-02T14:00:00Z,16692.74,16703.35,16670.48,16694.67,497.32395725
2023-01-02T15:00:00Z,16692.11,16738.97,16688.86,16727.2,982.14222159
2023-01-02T16:00:00Z,16728.63,16730.08,16704.03,16706.93,-591.23997799
2023-01-02T17:00:00Z,16706.61,16712.47,16702.37,16707.71,485.15376116
2023-01-02T18:00:00Z,16708.7,16730.57,16701.8,16717.95,431.39942333
2023-01-02T19:00:00Z,16718.17,16729.81,16710.49,16729.35,422.62016697
2023-01-02T20:00:00Z,16729.88,16731.01,16706.89,16722.43,-626.5856571
2023-01-02T21:00:00Z,16722.71,16781.17,16714.4,16750.6,659.40873139
2023-01-02T22:00:00Z,16750.82,16754.01,16689.8,16693.18,-1159.25952665
2023-01-02T23:00:00Z,16693.45,16714.78,16663.18,16668.97,-1457.3752723
2023-01-03T00:00:00Z,16668.69,16699.09,16648.13,16689.61,1216.83346811
2023-01-03T01:00:00Z,16688.77,16688.88,16649.49,16670.15,-698.22894433
2023-01-03T02:00:00Z,16669.95,16680.95,16666.89,16670.15,0
2023-01-03T03:00:00Z,16669.97,16691.1,16664.27,16685.67,458.29202362
2023-01-03T04:00:00Z,16685.91,16690.48,16680.55,16683.41,-332.60597667
2023-01-03T05:00:00Z,16682.43,16720.11,16681.59,16719.54,583.85320346
2023-01-03T06:00:00Z,16719.46,16766.49,16719.46,16721.59,751.72926144
2023-01-03T07:00:00Z,16721.06,16726.03,16708.58,16725.55,450.98483256
2023-01-03T08:00:00Z,16725.32,16730.33,16698.34,16712.06,-607.1050323
2023-01-03T09:00:00Z,16712.23,16749.17,16711.9,16735.77,531.13156146
2023-01-03T10:00:00Z,16738.41,16743.63,16719.33,16720.78,-362.91350916
2023-01-03T11:00:00Z,16720.45,16729.95,16709.45,16716.99,-560.5071518
2023-01-03T12:00:00Z,16717.14,16721.16,16700.07,16704.13,-680.18981933
2023-01-03T13:00:00Z,16704.63,16728.29,16704.13,16722.24,708.31731259
2023-01-03T14:00:00Z,16722.29,16766.07,16639.09,16657.36,-2554.89038582
2023-01-03T15:00:00Z,16654.63,16676.36,16612.12,16673.76,2949.31170266
2023-01-03T16:00:00Z,16672.12,16682.61,16603.33,16615.56,-2060.10328379
2023-01-03T17:00:00Z,16614.72,16634.86,16602.73,16623.38,1064.4065054
2023-01-03T18:00:00Z,16623.89,16646.18,16618.32,16637.66,833.20971425
2023-01-03T19:00:00Z,16637.88,16646.17,16618.08,16634.94,-1053.60333622
2023-01-03T20:00:00Z,16635.54,16665.67,16634.21,16656.27,1022.47155952
2023-01-03T21:00:00Z,16656.59,16668.74,16653.45,16661.09,644.34464456
2023-01-03T22:00:00Z,16662.11,16666.89,16646.69,16665.69,691.13163436
2023-01-03T23:00:00Z,16665.87,16683.04,16662.25,16670.73,1072.62796301
2023-01-04T00:00:00Z,16670.41,16673.66,16650.59,16654.72,-522.25748439
2023-01-04T01:00:00Z,16654.81,16721.64,16653.16,16694.28,1289.88756992
2023-01-04T02:00:00Z,16694.28,16740.25,16694.13,16729.5,953.6017972
2023-01-04T03:00:00Z,16730.04,16865.5,16729.58,16859.13,2437.9397076
2023-01-04T04:00:00Z,16858.64,16899.66,16850.52,16858.04,-1318.77646747
2023-01-04T05:00:00Z,16858.73,16860.18,16836.5,16850.24,-431.4741339
2023-01-04T06:00:00Z,16850.29,16866.77,16846.67,16866.77,558.65423508
2023-01-04T07:00:00Z,16866.86,16879.09,16848.24,16867.11,710.8223558
2023-01-04T08:00:00Z,16867.46,16905.72,16833.81,16859.51,-1144.09286963
2023-01-04T09:00:00Z,16859.64,16860.26,16834.38,16840.12,-760.64905903
2023-01-04T10:00:00Z,16839.87,16843.25,16833.27,16841.87,465.04439048
2023-01-04T11:00:00Z,16842.64,16848.49,16830.11,16830.47,-525.6057905
2023-01-04T12:00:00Z,16832.57,16835.8,16796.69,16806.52,-899.80057094
2023-01-04T13:00:00Z,16806.3,16829.93,16804.12,16820.41,632.21779184
2023-01-04T14:00:00Z,16820.67,16848.93,16793.72,16820.79,1425.8650428
2023-01-04T15:00:00Z,16821.67,16849.41,16761.45,16847.47,2774.58913519
2023-01-04T16:00:00Z,16848.05,16889.86,16826.76,16854.35,2109.84027042
2023-01-04T17:00:00Z,16855.83,16932.53,16846.1,16892.35,2046.51279405
2023-01-04T18:00:00Z,16892.38,16978.38,16872.41,16951.74,2448.21630806
2023-01-04T19:00:00Z,16948.8,16983.62,16786.85,16833.32,-3548.14214135
2023-01-04T20:00:00Z,16835.16,16842.01,16774.1,16800.74,-2145.12411497
2023-01-04T21:00:00Z,16800.53,16821.39,16791.76,16819.54,593.04499541
2023-01-04T22:00:00Z,16820.14,16836.82,16812.95,16825.23,1376.64183771
2023-01-04T23:00:00Z,16825.12,16862.08,16815.47,16849.16,1023.38644265
2023-01-05T00:00:00Z,16848.84,16872.12,16828.66,16829.01,-1020.49305516
2023-01-05T01:00:00Z,16828.76,16845.58,16812.11,16835.19,548.48692203
2023-01-05T02:00:00Z,16834.82,16842.91,16824.85,16834.21,-412.05709931
2023-01-05T03:00:00Z,16834.67,16834.67,16817.27,16822.32,-288.40272642
2023-01-05T04:00:00Z,16823.73,16836.45,16817.54,16833.71,311.90150455
2023-01-05T05:00:00Z,16834.05,16843.92,16832.95,16841.58,295.99449033
2023-01-05T06:00:00Z,16841.4,16842.28,16813.87,16817.06,-426.84956656
2023-01-05T07:00:00Z,16817.31,16820.19,16791.84,16819.37,385.6378473
2023-01-05T08:00:00Z,16819.61,16823.68,16791.87,16803.49,-480.52085616
2023-01-05T09:00:00Z,16803.61,16807,16783.4,16801.6,-536.4472048
2023-01-05T10:00:00Z,16801.62,16827.12,16797.89,16820.42,368.33462021
2023-01-05T11:00:00Z,16820.44,16829.02,16809.39,16827.19,451.7219078
2023-01-05T12:00:00Z,16827.49,16828.22,16815.11,16819.34,-569.2114082
2023-01-05T13:00:00Z,16818.85,16823.93,16775.96,16776.67,-1207.95111469
2023-01-05T14:00:00Z,16777.18,16824.91,16750.9,16822.6,1955.46471421
2023-01-05T15:00:00Z,16821.89,16870.23,16818.27,16838.93,1829.42144994
2023-01-05T16:00:00Z,16838.67,16856.41,16819.97,16831.93,-1213.06283261
2023-01-05T17:00:00Z,16831.41,16838.05,16809.29,16811.41,-788.60781562
2023-01-05T18:00:00Z,16811.12,16840.83,16799.05,16837.09,1111.34067451
2023-01-05T19:00:00Z,16837.47,16870.56,16826.64,16861.17,1037.2098627
2023-01-05T20:00:00Z,16861.27,16866.19,16846.13,16854.5,-880.2341678
2023-01-05T21:00:00Z,16854.89,16856.92,16836.92,16846.04,-801.22288821
2023-01-05T22:00:00Z,16846.44,16852.87,16831.63,16834.2,-868.89859309
2023-01-05T23:00:00Z,16834.14,16842.59,16816.78,16825.79,-1109.1792353
2023-01-06T00:00:00Z,16825.98,16859.62,16821.36,16854.38,682.950791
2023-01-06T01:00:00Z,16854.31,16858.71,16822.03,16823.79,-460.65459381
2023-01-06T02:00:00Z,16824.38,16831.48,16799.96,16831.26,556.72297237
2023-01-06T03:00:00Z,16830.97,16834.17,16820.26,16829.34,-469.45376742
2023-01-06T04:00:00Z,16829.36,16832.41,16804.8,16814.79,-512.53430026
2023-01-06T05:00:00Z,16813.84,16814.61,16787.8,16803.5,-520.78819186
2023-01-06T06:00:00Z,16802.41,16807.64,16777.31,16779.66,-661.85511726
2023-01-06T07:00:00Z,16779.36,16792.69,16777.5,16783.67,644.13212639
2023-01-06T08:00:00Z,16783.52,16801.45,16782.6,16793.82,372.26899472
2023-01-06T09:00:00Z,16793.64,16794.11,16759,16781.17,-862.48713892
2023-01-06T10:00:00Z,16780.97,16796.12,16759.78,16761.61,-417.10750195
2023-01-06T11:00:00Z,16761.4,16764.44,16706.45,16732.33,-1359.48297397
2023-01-06T12:00:00Z,16732.31,16738.01,16712.92,16722.76,-750.40494992
2023-01-06T13:00:00Z,16720.18,16805.67,16673.46,16768.11,2654.09742857
2023-01-06T14:00:00Z,16767.57,16781.03,16714.38,16744.34,-2672.2244621
2023-01-06T15:00:00Z,16744.45,16836.93,16744.2,16833.77,2578.97875059
2023-01-06T16:00:00Z,16833.51,16839.86,16800.92,16824.04,-1320.26847848
2023-01-06T17:00:00Z,16824.87,16833.34,16808.1,16813.05,-767.23729604
2023-01-06T18:00:00Z,16813.81,16853.52,16813.46,16844.61,1064.98146592
2023-01-06T19:00:00Z,16845.79,16958.03,16840.79,16935.76,2205.7973271
2023-01-06T20:00:00Z,16936.21,17032.24,16889.74,16894.33,-3749.23243864
2023-01-06T21:00:00Z,16896.43,16942.39,16889.14,16930.74,1182.40621366
2023-01-06T22:00:00Z,16930.98,16970.81,16930.98,16957.07,1517.39885514
2023-01-06T23:00:00Z,16958.54,16979.21,16945.05,16950.52,-1346.89917646
2023-01-07T00:00:00Z,16951.53,16974.17,16938.5,16974.07,582.20326676
2023-01-07T01:00:00Z,16973.83,16977.59,16949.74,16951.43,-431.03001779
2023-01-07T02:00:00Z,16951.6,16956.43,16940.2,16943.95,-288.29493268
2023-01-07T03:00:00Z,16943.93,16951.25,16939.31,16949.58,322.19982615
2023-01-07T04:00:00Z,16949.57,16949.89,16937.12,16937.42,-248.64725473
2023-01-07T05:00:00Z,16937.93,16940.5,16933.52,16934.66,-182.05021986
2023-01-07T06:00:00Z,16934.38,16934.64,16924.49,16932.17,-222.53643766
2023-01-07T07:00:00Z,16932.27,16945.08,16931.94,16944.28,173.50171933
2023-01-07T08:00:00Z,16944.37,16947.76,16929.37,16931.13,-338.73052286
2023-01-07T09:00:00Z,16931.1,16931.36,16922.72,16926.75,-213.26554367
2023-01-07T10:00:00Z,16926.75,16927.93,16913.59,16919.96,-159.78536859
2023-01-07T11:00:00Z,16920.25,16920.63,16909.36,16916.67,-211.31834341
2023-01-07T12:00:00Z,16916.07,16918.55,16909.44,16915.47,-246.1402683
2023-01-07T13:00:00Z,16916.35,16930.33,16913.2,16915.88,318.62391642
2023-01-07T14:00:00Z,16915.2,16941.17,16908.88,16934.02,433.04753904
2023-01-07T15:00:00Z,16933.86,16940.05,16932.13,16936.63,321.0703857
2023-01-07T16:00:00Z,16937.26,16937.26,16917.58,16921.45,-346.06876908
2023-01-07T17:00:00Z,16921.42,16930.24,16918.51,16928,238.98949747
2023-01-07T18:00:00Z,16928.27,16935.88,16919.17,16935.04,257.73039766
2023-01-07T19:00:00Z,16935.85,16939.91,16934.57,16938.88,293.51350308
2023-01-07T20:00:00Z,16938.86,16945.42,16934.71,16944.11,285.85935718
2023-01-07T21:00:00Z,16943.68,16946.67,16937.32,16940.27,-335.07629023
2023-01-07T22:00:00Z,16940.19,16942.22,16933.71,16939.83,-386.12034222
2023-01-07T23:00:00Z,16936.02,16947.93,16933.15,16944.73,538.18319023
2023-01-08T00:00:00Z,16944.76,16954.88,16915.35,16926.42,-609.41708215
2023-01-08T01:00:00Z,16925.43,16936.28,16917.42,16928.5,313.04301119
2023-01-08T02:00:00Z,16929.37,16932.91,16918.92,16930,224.93506151
2023-01-08T03:00:00Z,16930.03,16942.22,16927.72,16941.99,243.63341728
2023-01-08T04:00:00Z,16942.02,16942.93,16935.69,16936.74,-199.27046882
2023-01-08T05:00:00Z,16936.32,16941.04,16935.12,16940.67,196.10487047
2023-01-08T06:00:00Z,16940.94,16948.54,16935.89,16947.67,215.07823466
2023-01-08T07:00:00Z,16947.59,16951.6,16943.12,16949.8,214.33920728
2023-01-08T08:00:00Z,16950.04,16951.47,16943.84,16946.1,-219.06092743
2023-01-08T09:00:00Z,16946.22,16960.25,16928.79,16935.58,-466.54070742
2023-01-08T10:00:00Z,16935.9,16939.16,16934.91,16938.49,121.32487498
2023-01-08T11:00:00Z,16938.51,16940.84,16931.54,16931.74,-306.08759347
2023-01-08T12:00:00Z,16931.77,16932.76,16924.69,16925.97,-241.3306429
2023-01-08T13:00:00Z,16926.34,16934.1,16923.87,16932.21,206.35184715
2023-01-08T14:00:00Z,16931.87,16950.16,16930.32,16949.91,294.54477185
2023-01-08T15:00:00Z,16949.96,17014.96,16941.56,16996.33,926.39300326
2023-01-08T16:00:00Z,16999.87,17017.26,16919.11,16936.3,-1193.24927638
2023-01-08T17:00:00Z,16936.3,16947.84,16922.31,16928.1,-565.90987745
2023-01-08T18:00:00Z,16928.4,16933.6,16921.9,16928.78,277.10306904
2023-01-08T19:00:00Z,16928.79,16936.5,16924.82,16929.63,223.64664782
2023-01-08T20:00:00Z,16929.43,16975.28,16926.97,16967.63,636.67432321
2023-01-08T21:00:00Z,16967.38,16982.58,16950.8,16957.38,-514.52416049
2023-01-08T22:00:00Z,16957.25,16977.21,16952.62,16966.87,438.99477536
2023-01-08T23:00:00Z,16967.53,17164.44,16965.49,17124.86,2584.75256387
2023-01-09T00:00:00Z,17126.45,17189.61,17107.72,17186.06,2795.93523873
2023-01-09T01:00:00Z,17183.79,17216.08,17149.42,17180.6,-1947.55162986
2023-01-09T02:00:00Z,17180.11,17257.6,17166.11,17192.76,2181.84704218
2023-01-09T03:00:00Z,17194.03,17215.42,17182.16,17199.92,847.4667338
2023-01-09T04:00:00Z,17199.51,17243.94,17197.84,17228.46,1366.93333282
2023-01-09T05:00:00Z,17229.03,17251.25,17205.78,17207.71,-1082.2210672
2023-01-09T06:00:00Z,17208.14,17210.86,17186.47,17190.71,-689.4650302
2023-01-09T07:00:00Z,17190.81,17209.73,17187.48,17201.01,788.73971304
2023-01-09T08:00:00Z,17200.9,17231.11,17193.01,17194.21,-980.54526331
2023-01-09T09:00:00Z,17193.13,17285.9,17191.72,17241.24,1630.75270858
2023-01-09T10:00:00Z,17241.08,17279.15,17239.83,17263.27,1407.79897172
2023-01-09T11:00:00Z,17263.2,17277.35,17238.76,17240.25,-737.0886845
2023-01-09T12:00:00Z,17239.74,17251.5,17230.84,17250.27,756.43874412
2023-01-09T13:00:00Z,17249.18,17288.78,17195.36,17224.44,-1383.64940359
2023-01-09T14:00:00Z,17225.75,17269.45,17209.18,17263.35,1796.6917466
2023-01-09T15:00:00Z,17263.71,17331.24,17230.02,17272.47,2581.49343024
2023-01-09T16:00:00Z,17270.92,17352.8,17270.42,17326.8,2545.34037144
2023-01-09T17:00:00Z,17329.95,17378.21,17320.05,17359.64,2323.88161596
2023-01-09T18:00:00Z,17359.67,17395.43,17328.38,17348.09,-2205.23018
2023-01-09T19:00:00Z,17348.8,17350.35,17299.17,17299.42,-1658.0114196
2023-01-09T20:00:00Z,17298.07,17310.68,17179.57,17211.44,-2955.18884259
2023-01-09T21:00:00Z,17214.92,17245.26,17169.15,17182.08,-2097.52160681
2023-01-09T22:00:00Z,17180.35,17225.27,17167.79,17204.77,947.42851117
2023-01-09T23:00:00Z,17206.35,17207.39,17134.34,17179.7,-1107.92191231
2023-01-10T00:00:00Z,17179.19,17219.08,17176.85,17218.69,1730.54861887
2023-01-10T01:00:00Z,17218.69,17232.56,17191.58,17196.84,-1090.92379884
2023-01-10T02:00:00Z,17198.87,17216.85,17150.32,17181.33,-906.46277836
2023-01-10T03:00:00Z,17181.76,17207,17176.51,17206.28,460.71995706
2023-01-10T04:00:00Z,17205.45,17218.47,17198.97,17218.01,573.79414419
2023-01-10T05:00:00Z,17218.88,17229.69,17209.34,17227.24,467.53655808
2023-01-10T06:00:00Z,17226.98,17229.88,17193.34,17204.79,-498.19189416
2023-01-10T07:00:00Z,17204.46,17206.71,17194.15,17199.06,-398.86157853
2023-01-10T08:00:00Z,17199.39,17261.35,17190.8,17257.4,979.215981
2023-01-10T09:00:00Z,17256.17,17272.57,17245.73,17249.63,-623.37433986
2023-01-10T10:00:00Z,17248.81,17274.29,17238.06,17272.34,528.91455315
2023-01-10T11:00:00Z,17271.92,17281.85,17254,17255.29,-718.17699991
2023-01-10T12:00:00Z,17255.09,17258.12,17218.22,17221.96,-751.13870464
2023-01-10T13:00:00Z,17222.37,17250.77,17214.89,17243.03,893.49172303
2023-01-10T14:00:00Z,17244.27,17323.56,17219.71,17285.41,3075.33465868
2023-01-10T15:00:00Z,17286.06,17371.38,17269.52,17330.57,3598.7702032
2023-01-10T16:00:00Z,17331.61,17342.12,17291.08,17307.67,-1615.90183624
2023-01-10T17:00:00Z,17303.75,17337.37,17290.77,17328.84,1134.82128394
2023-01-10T18:00:00Z,17329.13,17438.41,17326,17429.83,2239.45298933
2023-01-10T19:00:00Z,17432.95,17451,17405.53,17430.51,1696.04353771
2023-01-10T20:00:00Z,17431.78,17489.98,17406.78,17476.72,2099.95520327
2023-01-10T21:00:00Z,17478.32,17490.87,17452.03,17466.97,-988.44248409
2023-01-10T22:00:00Z,17465.76,17466.15,17423.94,17437.29,-1816.0486056
2023-01-10T23:00:00Z,17435.79,17447.44,17409.06,17443.89,1599.08169208
2023-01-11T00:00:00Z,17442.9,17492.19,17431.26,17469.23,1088.53027122
2023-01-11T01:00:00Z,17470.08,17503.57,17440.59,17460.25,-1033.41439649
2023-01-11T02:00:00Z,17461.12,17462.43,17387.34,17390.66,-853.48393816
2023-01-11T03:00:00Z,17389.02,17423.64,17369.07,17416.11,614.27331611
2023-01-11T04:00:00Z,17415.71,17424.06,17396.38,17413.67,-490.13999819
2023-01-11T05:00:00Z,17413.63,17435.27,17402.23,17410.17,-830.67773274
2023-01-11T06:00:00Z,17408.65,17443.87,17393.87,17441.08,938.20127969
2023-01-11T07:00:00Z,17440.1,17460.08,17434.43,17448.76,750.58213397
2023-01-11T08:00:00Z,17449.03,17452.14,17413.94,17451.68,566.25447649
2023-01-11T09:00:00Z,17448.69,17468.41,17444.23,17446.72,-539.24519934
2023-01-11T10:00:00Z,17447.65,17457.16,17438.68,17442.09,-455.00296749
2023-01-11T11:00:00Z,17441.96,17452.31,17433.25,17439.04,-399.28544738
